date,product,category,units_sold,unit_price,region,sales_rep
2023-06-28,Notebook Pack,Office,7,284,Central,Rohit
2023-06-28,Office Chair,Furniture,6,11564,North,Priya
2023-06-30,Filing Cabinet,Furniture,2,6566,North,Priya
2023-06-30,Stapler,Office,2,612,West,Sneha
2023-06-30,Laptop Pro X,Electronics,1,83316,North,Priya
2023-07-02,Headphones Pro,Electronics,1,8801,East,Meena
2023-07-02,Stapler,Office,4,689,Central,Rohit
2023-07-02,Monitor 4K,Electronics,4,28779,South,Ravi
2023-07-04,Whiteboard,Office,4,4438,West,Karan
2023-07-04,Webcam HD,Electronics,6,3120,Central,Rohit
2023-07-04,Mechanical Keyboard,Electronics,1,4519,East,Meena
2023-07-04,Standing Desk,Furniture,1,34413,North,Priya
2023-07-07,Laptop Pro X,Electronics,2,91056,South,Divya
2023-07-08,Standing Desk,Furniture,6,32243,East,Arjun
2023-07-08,Whiteboard,Office,3,4413,South,Ravi
2023-07-08,USB Hub,Electronics,4,884,Central,Anjali
2023-07-11,Whiteboard,Office,2,4803,North,Amit
2023-07-13,Whiteboard,Office,6,4650,Central,Anjali
2023-07-13,Whiteboard,Office,1,4431,East,Arjun
2023-07-13,Bookshelf,Furniture,3,8951,South,Divya
2023-07-13,Filing Cabinet,Furniture,1,6541,North,Amit
2023-07-13,USB Hub,Electronics,2,953,West,Karan
2023-07-15,Bookshelf,Furniture,4,8879,South,Divya
2023-07-15,Wireless Mouse,Electronics,6,1507,Central,Rohit
2023-07-15,Webcam HD,Electronics,11,3316,East,Meena
2023-07-18,USB Hub,Electronics,2,912,North,Priya
2023-07-18,Headphones Pro,Electronics,2,8853,Central,Rohit
2023-07-21,Headphones Pro,Electronics,5,8846,West,Karan
2023-07-24,Stapler,Office,1,687,Central,Anjali
2023-07-24,Bookshelf,Furniture,4,7912,South,Divya
2023-07-24,Printer A4,Office,3,18263,East,Meena
2023-07-24,Filing Cabinet,Furniture,6,6011,Central,Rohit
2023-07-26,Laptop Air,Electronics,2,57801,East,Meena
2023-07-27,Calculator,Office,2,1192,Central,Anjali
2023-07-27,Notebook Pack,Office,3,298,North,Amit
2023-07-27,Stapler,Office,6,660,South,Divya
2023-07-27,Pen Set,Office,1,347,South,Ravi
2023-07-27,Bookshelf,Furniture,4,7873,North,Priya
2023-07-30,Printer A4,Office,4,17608,Central,Rohit
2023-07-30,Standing Desk,Furniture,3,36537,West,Karan
2023-07-30,Calculator,Office,4,1116,North,Amit
2023-07-30,Mechanical Keyboard,Electronics,5,4344,Central,Anjali
2023-08-02,Monitor 4K,Electronics,4,28370,East,Arjun
2023-08-02,Monitor 4K,Electronics,1,30095,East,Meena
2023-08-02,Desk Lamp,Furniture,5,2036,South,Ravi
2023-08-02,Desk Lamp,Furniture,6,2157,East,Arjun
2023-08-02,Pen Set,Office,1,350,North,Amit
2023-08-03,Standing Desk,Furniture,4,34113,South,Ravi
2023-08-03,Paper Ream,Office,1,485,South,Ravi
2023-08-03,Monitor 4K,Electronics,2,29543,North,Amit
2023-08-04,Notebook Pack,Office,2,287,Central,Rohit
2023-08-04,Calculator,Office,1,1133,South,Divya
2023-08-04,Headphones Pro,Electronics,1,8800,Central,Rohit
2023-08-04,Laptop Air,Electronics,6,63749,West,Karan
2023-08-04,USB Hub,Electronics,1,988,West,Karan
2023-08-06,Notebook Pack,Office,1,300,South,Divya
2023-08-06,Paper Ream,Office,2,462,South,Divya
2023-08-09,Printer A4,Office,1,18008,East,Meena
2023-08-09,Whiteboard,Office,1,4716,South,Ravi
2023-08-09,Monitor 4K,Electronics,1,28632,East,Arjun
2023-08-09,Filing Cabinet,Furniture,1,6409,Central,Rohit
2023-08-12,Standing Desk,Furniture,3,33727,North,Priya
2023-08-15,Whiteboard,Office,1,4728,North,Priya
2023-08-15,Filing Cabinet,Furniture,2,5756,North,Amit
2023-08-18,USB Hub,Electronics,1,930,West,Sneha
2023-08-18,Laptop Pro X,Electronics,1,89612,East,Arjun
2023-08-18,Bookshelf,Furniture,7,7872,South,Ravi
2023-08-20,Paper Ream,Office,5,479,West,Sneha
2023-08-20,Laptop Pro X,Electronics,1,89555,East,Arjun
2023-08-23,Pen Set,Office,1,365,West,Sneha
2023-08-23,USB Hub,Electronics,4,881,East,Arjun
2023-08-23,Whiteboard,Office,4,4185,Central,Anjali
2023-08-23,Paper Ream,Office,4,459,Central,Rohit
2023-08-23,Stapler,Office,1,628,South,Ravi
2023-08-24,Filing Cabinet,Furniture,5,5889,South,Divya
2023-08-24,Wireless Mouse,Electronics,3,1396,Central,Anjali
2023-08-24,Pen Set,Office,6,343,Central,Rohit
2023-08-24,Paper Ream,Office,2,484,North,Amit
2023-08-24,Office Chair,Furniture,3,12553,North,Amit
2023-08-26,Mechanical Keyboard,Electronics,3,4236,Central,Anjali
2023-08-26,Filing Cabinet,Furniture,4,6511,Central,Anjali
2023-08-27,Paper Ream,Office,3,418,South,Ravi
2023-08-27,Printer A4,Office,2,17140,North,Amit
2023-08-27,Webcam HD,Electronics,3,3421,North,Amit
2023-08-27,Pen Set,Office,2,336,West,Karan
2023-08-30,Standing Desk,Furniture,2,37048,East,Arjun
2023-08-30,Bookshelf,Furniture,4,8907,East,Arjun
2023-09-01,Printer A4,Office,1,19364,West,Karan
2023-09-01,Paper Ream,Office,1,480,West,Karan
2023-09-01,Pen Set,Office,6,362,East,Arjun
2023-09-01,Wireless Mouse,Electronics,1,1510,West,Sneha
2023-09-03,Wireless Mouse,Electronics,1,1453,East,Meena
2023-09-06,Headphones Pro,Electronics,1,8428,West,Karan
2023-09-06,Filing Cabinet,Furniture,3,5976,Central,Anjali
2023-09-06,Laptop Air,Electronics,1,60644,North,Amit
2023-09-06,Headphones Pro,Electronics,3,8974,North,Priya
2023-09-09,Laptop Air,Electronics,7,59381,South,Ravi
2023-09-09,Filing Cabinet,Furniture,1,6645,East,Meena
2023-09-09,Laptop Air,Electronics,2,63776,Central,Rohit
2023-09-09,Filing Cabinet,Furniture,3,6460,East,Meena
2023-09-12,Pen Set,Office,2,339,East,Meena
2023-09-12,Office Chair,Furniture,7,11089,South,Ravi
2023-09-13,Pen Set,Office,4,336,West,Sneha
2023-09-13,Office Chair,Furniture,2,12953,West,Sneha
2023-09-13,Standing Desk,Furniture,1,32886,West,Sneha
2023-09-13,Wireless Mouse,Electronics,8,1595,West,Sneha
2023-09-15,Bookshelf,Furniture,5,8567,East,Arjun
2023-09-17,Headphones Pro,Electronics,3,8511,South,Divya
2023-09-17,Mechanical Keyboard,Electronics,2,4310,South,Ravi
2023-09-17,Paper Ream,Office,2,453,North,Amit
2023-09-19,Notebook Pack,Office,1,260,South,Ravi
2023-09-19,Desk Lamp,Furniture,4,2190,West,Karan
2023-09-19,Stapler,Office,2,699,North,Priya
2023-09-19,Wireless Mouse,Electronics,3,1543,West,Karan
2023-09-21,Notebook Pack,Office,5,291,Central,Rohit
2023-09-21,Monitor 4K,Electronics,1,29484,West,Sneha
2023-09-24,Standing Desk,Furniture,4,34006,South,Ravi
2023-09-24,USB Hub,Electronics,2,1002,East,Meena
2023-09-26,Notebook Pack,Office,1,285,East,Arjun
2023-09-26,Calculator,Office,2,1200,Central,Rohit
2023-09-27,Stapler,Office,2,666,South,Ravi
2023-09-27,Calculator,Office,1,1262,East,Arjun
2023-09-27,Laptop Pro X,Electronics,3,91100,North,Priya
2023-09-27,Stapler,Office,1,677,East,Arjun
2023-09-27,Whiteboard,Office,3,4498,Central,Rohit
2023-09-30,Standing Desk,Furniture,6,33571,East,Meena
2023-09-30,Desk Lamp,Furniture,5,1956,East,Meena
2023-09-30,Laptop Air,Electronics,6,61162,South,Divya
2023-09-30,Printer A4,Office,2,18307,South,Divya
2023-09-30,Bookshelf,Furniture,3,9146,East,Meena
2023-10-01,Pen Set,Office,1,339,Central,Rohit
2023-10-01,Printer A4,Office,3,17854,North,Amit
2023-10-01,Monitor 4K,Electronics,6,27060,North,Priya
2023-10-03,Whiteboard,Office,7,4725,South,Ravi
2023-10-03,Stapler,Office,2,677,East,Arjun
2023-10-03,Paper Ream,Office,1,449,Central,Anjali
2023-10-03,Standing Desk,Furniture,2,32704,West,Sneha
2023-10-03,Desk Lamp,Furniture,2,2256,Central,Anjali
2023-10-04,Filing Cabinet,Furniture,1,5983,North,Priya
2023-10-04,Calculator,Office,2,1207,West,Karan
2023-10-04,Mechanical Keyboard,Electronics,8,4775,West,Sneha
2023-10-04,Filing Cabinet,Furniture,8,5748,West,Karan
2023-10-04,Laptop Air,Electronics,6,60636,Central,Rohit
2023-10-06,Desk Lamp,Furniture,2,2188,Central,Anjali
2023-10-08,Calculator,Office,6,1291,North,Priya
2023-10-08,Desk Lamp,Furniture,5,2119,East,Meena
2023-10-08,Filing Cabinet,Furniture,4,6301,South,Ravi
2023-10-08,Desk Lamp,Furniture,5,1947,Central,Rohit
2023-10-08,Monitor 4K,Electronics,1,28086,East,Meena
2023-10-09,Pen Set,Office,2,374,South,Divya
2023-10-09,Bookshelf,Furniture,2,9167,South,Divya
2023-10-09,Standing Desk,Furniture,4,35040,Central,Anjali
2023-10-09,Pen Set,Office,6,361,Central,Anjali
2023-10-09,Standing Desk,Furniture,4,34262,West,Sneha
2023-10-12,Whiteboard,Office,6,4713,Central,Anjali
2023-10-15,Calculator,Office,2,1289,West,Karan
2023-10-18,USB Hub,Electronics,6,899,North,Amit
2023-10-18,Calculator,Office,6,1261,West,Sneha
2023-10-18,USB Hub,Electronics,3,902,North,Priya
2023-10-18,Printer A4,Office,1,16996,East,Meena
2023-10-18,Webcam HD,Electronics,1,3390,West,Karan
2023-10-21,Monitor 4K,Electronics,6,28272,Central,Rohit
2023-10-24,Pen Set,Office,3,375,West,Karan
2023-10-24,Printer A4,Office,5,18133,Central,Anjali
2023-10-24,Office Chair,Furniture,1,11409,Central,Anjali
2023-10-24,USB Hub,Electronics,1,908,East,Meena
2023-10-26,Webcam HD,Electronics,3,3189,West,Karan
2023-10-26,Notebook Pack,Office,2,263,East,Meena
2023-10-26,Notebook Pack,Office,1,294,West,Karan
2023-10-27,Laptop Air,Electronics,3,60475,East,Arjun
2023-10-27,Printer A4,Office,6,17176,East,Meena
2023-10-27,Notebook Pack,Office,2,263,East,Meena
2023-10-30,USB Hub,Electronics,5,975,South,Ravi
2023-10-30,Pen Set,Office,5,324,South,Ravi
2023-10-30,Whiteboard,Office,2,4212,East,Meena
2023-10-30,Monitor 4K,Electronics,3,27582,North,Priya
2023-10-30,Paper Ream,Office,2,468,West,Sneha
2023-11-01,Standing Desk,Furniture,7,35852,North,Priya
2023-11-01,USB Hub,Electronics,5,1012,Central,Rohit
2023-11-01,Headphones Pro,Electronics,3,9090,West,Sneha
2023-11-02,Paper Ream,Office,5,477,South,Divya
2023-11-02,Laptop Pro X,Electronics,11,90826,East,Arjun
2023-11-02,Bookshelf,Furniture,1,9165,East,Meena
2023-11-02,Notebook Pack,Office,8,297,Central,Anjali
2023-11-03,Printer A4,Office,3,18889,East,Arjun
2023-11-03,Bookshelf,Furniture,1,8701,South,Divya
2023-11-03,Headphones Pro,Electronics,3,8895,North,Amit
2023-11-03,Stapler,Office,1,661,South,Ravi
2023-11-03,Desk Lamp,Furniture,5,1961,West,Karan
2023-11-06,Headphones Pro,Electronics,5,8260,South,Divya
2023-11-07,Office Chair,Furniture,2,11897,West,Sneha
2023-11-09,Standing Desk,Furniture,1,33664,Central,Rohit
2023-11-09,Filing Cabinet,Furniture,2,6366,South,Ravi
2023-11-09,Printer A4,Office,3,17727,East,Arjun
2023-11-12,Mechanical Keyboard,Electronics,5,4582,East,Meena
2023-11-12,USB Hub,Electronics,1,897,South,Divya
